,Mean,Std
ABL_TCN_Direct_Mod (0-10mm)_Samples,639.0,0.0
ABL_TCN_Direct_Heavy (>10mm)_Samples,357.0,0.0
ABL_LSTM_Gated_Overall_R2,0.9860402515575301,0.0035605751933365146
ABL_LSTM_Gated_No Rain (0mm)_R2,,
ABL_LSTM_Gated_Mod (0-10mm)_R2,0.8840703087664007,0.029089010902310898
ABL_LSTM_Gated_Heavy (>10mm)_R2,0.9685120667266374,0.00984157854985006
ABL_LSTM_Gated_Overall_MAE,0.4368275871396318,0.03204300989759452
ABL_LSTM_Gated_No Rain (0mm)_MAE,0.04075701874588636,0.01130975954491809
ABL_LSTM_Gated_Mod (0-10mm)_MAE,0.5405459540524525,0.08773514502247164
ABL_LSTM_Gated_Heavy (>10mm)_MAE,1.909795271429147,0.2895188421879047
ABL_LSTM_Gated_Overall_MSE,2.479336461069356,0.6323798695656333
ABL_LSTM_Gated_No Rain (0mm)_MSE,0.2218711582186129,0.13568829452437597
ABL_LSTM_Gated_Mod (0-10mm)_MSE,0.9400398019251407,0.23587424201541704
ABL_LSTM_Gated_Heavy (>10mm)_MSE,14.68807929847836,4.590770848866303
ABL_LSTM_Gated_Overall_RMSE,1.5642020058071506,0.20189275029778583
ABL_LSTM_Gated_No Rain (0mm)_RMSE,0.4464103384135247,0.16803633526761125
ABL_LSTM_Gated_Mod (0-10mm)_RMSE,0.9635909480819184,0.12006397617379938
ABL_LSTM_Gated_Heavy (>10mm)_RMSE,3.7929223092056477,0.614226805431488
ABL_LSTM_Gated_Overall_MAPE,26.64061717277238,1.8591767138286786
ABL_LSTM_Gated_No Rain (0mm)_MAPE,,
ABL_LSTM_Gated_Mod (0-10mm)_MAPE,38.17644890766646,3.0109506466026246
ABL_LSTM_Gated_Heavy (>10mm)_MAPE,5.992447764936768,0.48111847972206295
ABL_LSTM_Gated_Overall_Bias,-0.053420168704798675,0.14262437652551002
ABL_LSTM_Gated_No Rain (0mm)_Bias,0.04075701874588636,0.01130975954491809
