,Mean,Std
ABL_LSTM_Gated_Heavy (>10mm)_MAE,4.917717165552725,0.7793846157303156
ABL_LSTM_Gated_Overall_RMSE,4.49367149077959,0.5027526831537191
ABL_LSTM_Gated_No Rain (0mm)_RMSE,0.8917020735166595,0.18334434850655304
ABL_LSTM_Gated_Mod (0-10mm)_RMSE,2.2657584662249852,0.1494877163173791
ABL_LSTM_Gated_Heavy (>10mm)_RMSE,8.526629190708633,1.0379482652163514
ABL_LSTM_Gated_Overall_R2,0.9774416292465942,0.004678231606527738
ABL_LSTM_Gated_No Rain (0mm)_R2,,
ABL_LSTM_Gated_Mod (0-10mm)_R2,0.3948424507255697,0.08121972271278045
ABL_LSTM_Gated_Heavy (>10mm)_R2,0.9597752816419682,0.0090249510709133
ABL_LSTM_Gated_Overall_MAPE,38.30140156226202,1.256099210316284
ABL_LSTM_Gated_No Rain (0mm)_MAPE,,
ABL_LSTM_Gated_Mod (0-10mm)_MAPE,76.1435057555038,4.340661585125179
ABL_LSTM_Gated_Heavy (>10mm)_MAPE,11.876666285799256,1.3296001559115953
ABL_LSTM_Gated_Overall_NSE,0.9774416287978429,0.004678231699591293
ABL_LSTM_Gated_No Rain (0mm)_NSE,,
ABL_LSTM_Gated_Mod (0-10mm)_NSE,0.39484244196913404,0.0812197238880038
ABL_LSTM_Gated_Heavy (>10mm)_NSE,0.9597752792110932,0.009024951616312506
ABL_LSTM_Gated_Overall_Bias,0.07774622902821282,0.8701470594911764
ABL_LSTM_Gated_No Rain (0mm)_Bias,0.12191044724958318,0.010153050969780293
ABL_LSTM_Gated_Mod (0-10mm)_Bias,-0.5524106909622998,0.09478750631432249
ABL_LSTM_Gated_Heavy (>10mm)_Bias,0.4218256135079729,3.336258191703567
ABL_LSTM_Gated_Overall_Samples,2489.0,0.0
ABL_LSTM_Gated_No Rain (0mm)_Samples,1397.0,0.0
ABL_LSTM_Gated_Mod (0-10mm)_Samples,449.0,0.0
ABL_LSTM_Gated_Heavy (>10mm)_Samples,643.0,0.0
ABL_LSTM_Direct_Overall_MAE,1.6066405773162842,0.19673968851566315
ABL_LSTM_Direct_No Rain (0mm)_MAE,0.14753472805023193,0.008827075362205505
ABL_LSTM_Direct_Mod (0-10mm)_MAE,1.4095852375030518,0.03206178918480873
ABL_LSTM_Direct_Heavy (>10mm)_MAE,4.914336204528809,0.7814055681228638
ABL_LSTM_Direct_Overall_RMSE,4.4843549728393555,0.5016469359397888
ABL_LSTM_Direct_No Rain (0mm)_RMSE,0.9019495844841003,0.18241573870182037
ABL_LSTM_Direct_Mod (0-10mm)_RMSE,2.2313950061798096,0.15101858973503113
ABL_LSTM_Direct_Heavy (>10mm)_RMSE,8.511791229248047,1.0342645645141602
ABL_LSTM_Direct_Overall_R2,0.977535128468024,0.004666022124094154
ABL_LSTM_Direct_No Rain (0mm)_R2,,
ABL_LSTM_Direct_Mod (0-10mm)_R2,0.4129530411576464,0.08081846644357957
ABL_LSTM_Direct_Heavy (>10mm)_R2,0.9599168516853197,0.008992519656644622
ABL_LSTM_Direct_Overall_MAPE,37.27607309818268,1.1018575175944245
ABL_LSTM_Direct_No Rain (0mm)_MAPE,,
ABL_LSTM_Direct_Mod (0-10mm)_MAPE,73.6740493774414,3.9791253670429882
ABL_LSTM_Direct_Heavy (>10mm)_MAPE,11.85976043343544,1.3342068420788353
ABL_LSTM_Direct_Overall_NSE,0.9775351274758577,0.0046660219580452805
ABL_LSTM_Direct_No Rain (0mm)_NSE,,
ABL_LSTM_Direct_Mod (0-10mm)_NSE,0.4129530191421509,0.08081846929797033
ABL_LSTM_Direct_Heavy (>10mm)_NSE,0.9599168505519629,0.00899251873721037
ABL_LSTM_Direct_Overall_Bias,0.1031145453453064,0.8710496425628662
ABL_LSTM_Direct_No Rain (0mm)_Bias,0.14753472805023193,0.008827075362205505
ABL_LSTM_Direct_Mod (0-10mm)_Bias,-0.49653905630111694,0.09244910627603531
ABL_LSTM_Direct_Heavy (>10mm)_Bias,0.4253374934196472,3.3338568210601807
ABL_LSTM_Direct_Overall_Samples,2489.0,0.0
ABL_LSTM_Direct_No Rain (0mm)_Samples,1397.0,0.0
ABL_LSTM_Direct_Mod (0-10mm)_Samples,449.0,0.0
ABL_LSTM_Direct_Heavy (>10mm)_Samples,643.0,0.0
ABL_LGBM_Gated_Overall_MAE,1.4518091400887507,0.16308702228679636
ABL_LGBM_Gated_No Rain (0mm)_MAE,0.04374155620527219,0.004720548478609865
ABL_LGBM_Gated_Mod (0-10mm)_MAE,0.9161068782290569,0.05308781688270999
ABL_LGBM_Gated_Heavy (>10mm)_MAE,4.885091768798272,0.6072005254706999
ABL_LGBM_Gated_Overall_RMSE,6.565716356786386,0.31447744247329423
ABL_LGBM_Gated_No Rain (0mm)_RMSE,0.3635763765018466,0.061785270758670165
ABL_LGBM_Gated_Mod (0-10mm)_RMSE,1.9860047779307712,0.2822603223261097
ABL_LGBM_Gated_Heavy (>10mm)_RMSE,12.79684399419445,0.6368451059783549
ABL_LGBM_Gated_Overall_R2,0.9522318557750824,0.0046225633577315
ABL_LGBM_Gated_No Rain (0mm)_R2,,
ABL_LGBM_Gated_Mod (0-10mm)_R2,0.5291810139732518,0.13928475856611924
ABL_LGBM_Gated_Heavy (>10mm)_R2,0.910280773247948,0.00904017916030477
ABL_LGBM_Gated_Overall_MAPE,25.04152283556169,1.8032948923024334
ABL_LGBM_Gated_No Rain (0mm)_MAPE,,
ABL_LGBM_Gated_Mod (0-10mm)_MAPE,45.5867097119635,3.2352158891566276
ABL_LGBM_Gated_Heavy (>10mm)_MAPE,10.695039309116254,1.4777614988456167
ABL_LGBM_Gated_Overall_NSE,0.9522318548248359,0.00462256344968763
ABL_LGBM_Gated_No Rain (0mm)_NSE,,
ABL_LGBM_Gated_Mod (0-10mm)_NSE,0.5291810071606521,0.13928476058152503
ABL_LGBM_Gated_Heavy (>10mm)_NSE,0.9102807678260021,0.009040179706624265
ABL_LGBM_Gated_Overall_Bias,-0.8984527221379448,0.16963831782509167
ABL_LGBM_Gated_No Rain (0mm)_Bias,0.04374155620527219,0.004720548478609865
ABL_LGBM_Gated_Mod (0-10mm)_Bias,-0.3329082076696226,0.11650091440885843
ABL_LGBM_Gated_Heavy (>10mm)_Bias,-3.340404345531025,0.6011756630123881
ABL_LGBM_Gated_Overall_Samples,2489.0,0.0
ABL_LGBM_Gated_No Rain (0mm)_Samples,1397.0,0.0
ABL_LGBM_Gated_Mod (0-10mm)_Samples,449.0,0.0
ABL_LGBM_Gated_Heavy (>10mm)_Samples,643.0,0.0
ABL_LGBM_Direct_Overall_MAE,1.4111854217297233,0.15799671262377474
ABL_LGBM_Direct_No Rain (0mm)_MAE,0.0854598964763714,0.012399576656276962
ABL_LGBM_Direct_Mod (0-10mm)_MAE,0.8820188125832535,0.05807699935947873
ABL_LGBM_Direct_Heavy (>10mm)_MAE,4.661005587026298,0.5693594236994707
ABL_LGBM_Direct_Overall_RMSE,6.340375673483305,0.2297928756764375
ABL_LGBM_Direct_No Rain (0mm)_RMSE,0.5017434796788681,0.05788224438250216
ABL_LGBM_Direct_Mod (0-10mm)_RMSE,2.0244171743846624,0.2928424253345917
ABL_LGBM_Direct_Heavy (>10mm)_RMSE,12.334653290626097,0.46055552634978075
ABL_LGBM_Direct_Overall_R2,0.9554893514458878,0.0032229643518389716
ABL_LGBM_Direct_No Rain (0mm)_R2,,
ABL_LGBM_Direct_Mod (0-10mm)_R2,0.5105126569642102,0.14434392274384658
ABL_LGBM_Direct_Heavy (>10mm)_R2,0.9167166563955064,0.006232497021485184
ABL_LGBM_Direct_Overall_MAPE,25.105951123054417,1.5452967759922174
ABL_LGBM_Direct_No Rain (0mm)_MAPE,,
ABL_LGBM_Direct_Mod (0-10mm)_MAPE,46.88300743741143,2.0546802233498567
ABL_LGBM_Direct_Heavy (>10mm)_MAPE,9.899266387212588,1.4316580641940055
ABL_LGBM_Direct_Overall_NSE,0.9554893505604424,0.003222964415953023
ABL_LGBM_Direct_No Rain (0mm)_NSE,,
ABL_LGBM_Direct_Mod (0-10mm)_NSE,0.5105126498814855,0.14434392483245687
ABL_LGBM_Direct_Heavy (>10mm)_NSE,0.9167166513624965,0.006232497398129751
ABL_LGBM_Direct_Overall_Bias,-0.7598398267158238,0.13098482249134713
ABL_LGBM_Direct_No Rain (0mm)_Bias,0.0854598964763714,0.012399576656276962
ABL_LGBM_Direct_Mod (0-10mm)_Bias,-0.1031568676414516,0.08519259940447102
ABL_LGBM_Direct_Heavy (>10mm)_Bias,-3.054916594871174,0.5109181374734574
ABL_LGBM_Direct_Overall_Samples,2489.0,0.0
ABL_LGBM_Direct_No Rain (0mm)_Samples,1397.0,0.0
ABL_LGBM_Direct_Mod (0-10mm)_Samples,449.0,0.0
ABL_LGBM_Direct_Heavy (>10mm)_Samples,643.0,0.0
MAIN_ENSEMBLE_Overall_MAE,1.254022240638733,0.2497239112854004
MAIN_ENSEMBLE_No Rain (0mm)_MAE,0.04853292554616928,0.008701259270310402
MAIN_ENSEMBLE_Mod (0-10mm)_MAE,0.7369073033332825,0.09758688509464264
MAIN_ENSEMBLE_Heavy (>10mm)_MAE,4.234198570251465,0.954078733921051
MAIN_ENSEMBLE_Overall_RMSE,4.769275665283203,0.37100571393966675
MAIN_ENSEMBLE_No Rain (0mm)_RMSE,0.3054021894931793,0.1034381240606308
MAIN_ENSEMBLE_Mod (0-10mm)_RMSE,1.3945696353912354,0.126898393034935
MAIN_ENSEMBLE_Heavy (>10mm)_RMSE,9.297673225402832,0.7408613562583923
MAIN_ENSEMBLE_Overall_R2,0.9747198259046579,0.003987745328854357
MAIN_ENSEMBLE_No Rain (0mm)_R2,,
MAIN_ENSEMBLE_Mod (0-10mm)_R2,0.7700257861603494,0.04117033556947172
MAIN_ENSEMBLE_Heavy (>10mm)_R2,0.9524917476864243,0.007677755082471723
MAIN_ENSEMBLE_Overall_MAPE,21.33118987083435,1.8722604200127224
MAIN_ENSEMBLE_No Rain (0mm)_MAPE,,
MAIN_ENSEMBLE_Mod (0-10mm)_MAPE,39.16636109352112,3.4242996601078253
MAIN_ENSEMBLE_Heavy (>10mm)_MAPE,8.877080827951431,1.6519915853917906
MAIN_ENSEMBLE_Overall_NSE,0.9747198257595301,0.003987744380992713
MAIN_ENSEMBLE_No Rain (0mm)_NSE,,
MAIN_ENSEMBLE_Mod (0-10mm)_NSE,0.770025783777237,0.041170346862377374
MAIN_ENSEMBLE_Heavy (>10mm)_NSE,0.952491744607687,0.007677756044506398
MAIN_ENSEMBLE_Overall_Bias,0.15004651248455048,0.45312952995300293
MAIN_ENSEMBLE_No Rain (0mm)_Bias,0.04853292554616928,0.008701259270310402
MAIN_ENSEMBLE_Mod (0-10mm)_Bias,0.01933409832417965,0.1603306382894516
MAIN_ENSEMBLE_Heavy (>10mm)_Bias,0.46187296509742737,1.7372223138809204
MAIN_ENSEMBLE_Overall_Samples,2489.0,0.0
MAIN_ENSEMBLE_No Rain (0mm)_Samples,1397.0,0.0
MAIN_ENSEMBLE_Mod (0-10mm)_Samples,449.0,0.0
MAIN_ENSEMBLE_Heavy (>10mm)_Samples,643.0,0.0
